"作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"蔥科根菜類","可芬諾","1","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"蔥科根菜類","免扶克","1","BENFURACARB=不得檢出候選(標準有此成分(5 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"蔥科根菜類","嘉賜銅","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","根莖菜類","",""
"豌豆","培丹","1","CARTAP=不得檢出候選(標準有此成分(18 列),但本作物/分類/通用列皆查無)","MRL 同名+乾豆類/豆菜類","",""
"豌豆","脫克松","1","TOLCLOFOS-METHYL=不得檢出候選(標準有此成分(7 列),但本作物/分類/通用列皆查無)","MRL 同名+乾豆類/豆菜類","",""
"樹薯","畢達本","1","PYRIDABEN=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","MRL 同名+根莖菜類","",""
"薄荷","納乃得","1","METHOMYL=不得檢出候選(標準有此成分(22 列),但本作物/分類/通用列皆查無)","MRL 同名+香辛植物及其他草木本植物","",""
"薏苡","培丹","1","CARTAP=不得檢出候選(標準有此成分(18 列),但本作物/分類/通用列皆查無)","雜糧類","",""
"藜科小葉菜類","可芬諾","1","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","小葉菜類","",""
"藜科根菜類","可芬諾","1","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
